,brand,category,id,name,price
0,Affligem,Blond,223970PAK,Affligem Blond Bier Fles 6 x 30cl,6.64
1,Brand,Bockbier,57827PAK,Brand Dubbelbock Bier Fles 6 x 30cl,6.07
2,Leffe,Blond,707562PAK,Leffe Blond Belgisch Abdijbier Flessen 6 x 30cl,6.53
3,Leffe,Blond,1557928694823,Leffe Blond Bier met Kaasblokjes,10.74
4,Desperados,"Mexicaans bier, Verjaardagsborrel",167944PAK,Desperados Original Bier Fles 6 x 33cl,6.89
5,Dors,Mexicaans bier,139309PAK,Dors Tequila Flessen 6 x 330ml,3.36
6,Liefmans,"Kriek, fruitbier",157438PAK,Liefmans Fruitesse 4 x 25cl,4.84
7,Franziskaner Weissbier,Weizen,163451FLS,"Franziskaner Weissbier Alkoholfrei Naturtrübes Weissbier Fles 0, 5L",1.48
8,Leffe,Blond,275066PAK,"Leffe Belgisch Abdijbier Blond 0,0% Blikken 6 x 33cl",6.29
9,Brand,Indian pale ale,153947PAK,Brand IPA Bier Fles 6 x 30cl,6.42
10,Deus,Champagnebier,209771FLS,Deus Brut des Flandres Bier Fles 75cl,14.99
11,Erdinger,Weizen,163457FLS,"Erdinger Weißbier Fles 0, 5L",1.69
12,Leffe,Blond,1551446276273,Leffe Pakket,19.45
13,Hertog Jan,Amber bier,179144PAK,Hertog Jan Karakter Bier Flessen 4 x 30cl,3.66
14,Grolsch,Blond,224281PAK,Grolsch Blonde Saison Flessen 4 x 30cl,4.79
15,La Chouffe,Blond,526442PAK,La Chouffe 4 x 33cl,6.78
16,Leffe,Blond,275061PAK,"Leffe Belgisch Abdijbier Blond 0,0% Flessen 6 x 30cl",5.22
17,Hoegaarden,"Kriek, fruitbier",225349PAK,Hoegaarden Rosée Belgisch Witbier 0.0% Blikken 4 x 33cl,4.08
18,Tripel Karmeliet,Tripel,199873PAK,Tripel Karmeliet Belgisch Speciaalbier Flessen 4 x 33cl,6.82
19,Westmalle,Tripel,304616FLS,Westmalle Trappist Tripel Fles 33cl,1.7
20,Leffe,Tripel,707295PAK,Leffe Tripel Belgisch Abdijbier Flessen 6 x 30cl,7.18
21,La Trappe,Amber bier,64437PAK,La Trappe Trappist Isid'or Speciaalbier 6 x 30cl,7.74
22,Hoegaarden,Witbier,224990PAK,Hoegaarden Belgisch Witbier 0.0% Blikken 4 x 33cl,3.79
23,Hertog Jan,Zwaar bier,179146PAK,Hertog Jan Grand Prestige Bier Flessen 4 x 30cl,4.24
24,Hertog Jan,Weizen,508082PAK,Hertog Jan Weizener Witbier Flessen 6 x 30cl,6.43
25,Hertog Jan,Tripel,179145PAK,Hertog Jan Tripel Bier Flessen 4 x 30cl,4.94
26,Hoegaarden,Witbier,732885PAK,Hoegaarden Wit Belgisch Bier Flessen 6 x 30cl,5.63
27,Leffe,Dubbel,706663PAK,Leffe Bruin Belgisch Abdijbier Flessen 6 x 30cl,6.03
28,Grolsch,Bockbier,718610PAK,Grolsch Rijke Herfstbok Flessen 6 x 30cl,6.07
29,Hertog Jan,Blond,198121PAK,Hertog Jan Enkel Bier Flessen 4 x 30cl,4.57
30,Hertog Jan,Dubbel,211621PAK,Hertog Jan Dubbel Bier Flessen 4 x 30cl,4.74
31,Paulaner,Weizen,226836FLS,Paulaner Hefe-Weiss 0.0 Alcoholvrij Bier Fles 50cl,1.54
32,Corona,Mexicaans bier,53110DS,Corona Extra Mexicaans Pils Bier Flessen 6 x 355ml,8.5
33,La Trappe,Tripel,703966PAK,La Trappe Trappist Tripel Speciaalbier 6 x 30cl,7.07
34,Duvel,Blond,448338PAK,Duvel 6 x 33cl,8.46
35,Brand,Oud bruin bier,35966PAK,Brand Oud Bruin Bier Fles 6 x 30cl,5.08
36,Vedett,Indian pale ale,149025FLS,Vedett Extra IPA 33cl,1.59
37,Kasteel,Zwaar bier,163170FLS,Kasteel 11° Donker Fles 33cl,1.54
38,Westmalle,Dubbel,304615FLS,Westmalle Trappist Dubbel Fles 33cl,1.42
39,Bavaria,"Bier - Alcoholvrij, Witbier",17767PAK,Bavaria 0.0% Premium Alcoholvrij Witbier 6 x 33cl,3.6
40,Wieckse,Rosé bier,191785PAK,Wieckse Rosé Wit Bier Fles 6 x 30cl,5.7
41,Grimbergen,Dubbel,708194PAK,Grimbergen Dubbel Fles 6 x 30cl,6.19
42,La Trappe,Quadrupel,37072PAK,La Trappe Trappist Quadrupel Speciaalbier 6 x 30cl,8.72
43,Lindemans,"Kriek, fruitbier",162252FLS,Lindemans Kriek Fles 25cl,1.87
44,Hertog Jan,Bockbier,478016PAK,Hertog Jan Bockbier Bier Flessen 6 x 30cl,6.21
45,Jopen,Indian pale ale,189696STK,Jopen Mooie Nel IPA Fles 33cl,2.16
46,Bavaria,"Bier-in-blik, Kriek, fruitbier",134888PAK,Bavaria 0.0% Fruity Rose Alcoholvrij Bier 6 x 33cl,4.14
47,N'Ice Chouffe,Blond,127251PAK,N'ice Chouffe 4 x 33cl,6.64
48,Brouwerij 't IJ,Witbier,1542370656396,Proefpakket 't IJ,8.32
49,Gulpener,Bockbier,37170PAK,Gulpener Wintervrund Flessen 6 x 30cl,5.99
50,Grolsch,Tripel,207687FLS,Grolsch Tripel Beugelfles 45cl,2.62
51,Brugse Zot,Blond,177825STK,Brugse Zot Belgisch Bier Fles 33cl,1.53
52,8.6,"Blond, Zwaar bier",73018BLK,8.6 Bier Original 8.6% 50cl,1.27
53,Palm,"Bier - Alcoholvrij, Amber bier",207505PAK,PALM Amber Alcoholvrij Speciaal Bier 6-Pack,3.91
54,Duvel,Tripel,1542378828644,Proefpakket Bier,7.58
55,Maredsous,Tripel,211625FLS,Maredsous Belgisch Abdijbier Tripel Fles 330ml,1.75
56,Grolsch,Zwaar bier,717134PAK,Grolsch Krachtig Kanon Flessen 6 x 30cl,6.29
57,Grolsch,Bockbier,81462BLK,Grolsch Rijke Herfstbok Blik 50cl,1.57
58,Franziskaner Weissbier,Weizen,62164FLS,"Franziskaner Weissbier Naturtrüb Premium Hefe - Weissbier Fles 0, 5L",1.73
59,Desperados,Mexicaans bier,183738PAK,Desperados Mojito Bier Fles 6 x 33cl,7.64
60,Paulaner,Witbier,198321FLS,Paulaner Hefe-Weiss Bier Fles 50cl,1.93
61,Gulpener,Zwaar bier,526335BLK,"Gulpener Gladiator, Blik, 50cl",0.95
62,La Trappe,Dubbel,718254PAK,La Trappe Trappist Dubbel Flessen 6 x 30cl,6.78
63,Brugse Zot,Blond,1542370656356,Bierpakket,5.87
64,Weihenstephaner,Weizen,216817FLS,"Weihenstephaner Hefeweissbier Alkoholfrei Fles 0, 5L",1.49
65,Grimbergen,Blond,18021PAK,Grimbergen Blond Flessen 6 x 30cl,6.48
66,Grutte Pier,Tripel,212934FLS,Grutte Pier Tripel Fles 33cl,2.44
